"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"KL47","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL25","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL128","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL38","CHRFDSH",2,1,0.0078740157480315,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL124","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL2","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL24","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL149","CHRFDSH",3,1,0.0118110236220472,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL62","CHRFDSH",18,1,0.0708661417322835,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL136","CHRFDSH",3,1,0.0118110236220472,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL136","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL11","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL124","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL155","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL38","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL25","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL30","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL141","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL171","CHRFDSH",2,1,0.0078740157480315,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL64","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL183","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL186","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL17","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL21","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL140","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL111","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL81","CHRFCMOSH",3,1,0.166666666666667,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL122","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL2","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
