locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL136,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL11,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL124,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL155,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL38,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL25,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL30,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL141,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL171,CHRFDSH,2,1,0.0078740157480315,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL64,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL183,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL17,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL21,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL140,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL81,CHRFCMOSH,3,1,0.1875,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL122,BABC,1,1,0.0769230769230769,0.1,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
KL2,BABC,1,1,0.0769230769230769,0.1,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
KL38,BABC,1,1,0.0769230769230769,0.1,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
